file,content,sentiment
Rassemblement National,"@franceinfo Le #RassemblementNational : parti fondé avec des Nazi, financé par une puissance étrangère, empêtré dans des affaires de détournements de fonds publics, dirigé par une mafia familiale tenue par un sénile et une incompétente notoire.
Et t'as encore des abrutis pour voter pour ça..",0
Rassemblement National,"#LePen , toi aussi tu soutiens le criminel de guerre #Putin 
Quelle honte! #RassemblementNational https://t.co/jH8lsrCz5e",0
Rassemblement National,Le debat avec ses deux VIPERES J EN PEUX PLUS.IL FAUT LES VIRER PAS DU TOUT JOURNALISTES AUCUN PROFESSIONNALISME. DEHORS,0
Rassemblement National,"L’un des sénateurs de mon pays, John Kennedy, R-LA, a dit que vous ne pouvez pas réparer stupidité, mais que vous pouvez le rejeter.",0
Rassemblement National,"Et comment financer tout ça ? Bordel les jeunes vont être contents mais bon l'état risque d'avoir du mal à rembourser sa dette, au moins Zemmour a un programme logique ! #zemmourpresident",0
Rassemblement National,Quelle honte !!! Et ça se dit gestionnaire de la France 🇫🇷 ? #sanslui,0
Rassemblement National,Un incapable faut le viré,0
Rassemblement National,Une mascarade des gouvernements passé et actuel pour récupérer l'argent durement gagné et placé de nos anciens.... vider les livrets .... Une honte quand on voit leurs conditions de vie dans ces EHPAD !,0
Rassemblement National,Qu il dégage,0
Rassemblement National,J'en as marre de se gouvernement qui  nous prend pour des cons nous le peuple,0
Rassemblement National,METTEZ CET ORDURE EN PRISON !!!!! IL DETRUIT TOUT POUR SES MAITRES !!!!!,0
Rassemblement National,"Bravo pour la démagogie. 
Il faut apprendre à faire la part des choses. Je ne traite pas les gens qui s’opposent à moi d’imbecile. Je traite les imbeciles , d’imbeciles. Je suis navré si vous ne faites pas la différence. Vous devriez prends des formations en réthorique, cela vous aiderez à ne pas vous tromper la prochaine fois. 
“Si vous voulez faire partie des perdant” cela en dit long sur votre personnalité, je ne choisi pas un camp uniquement car il gagne, je choisi un camp par conviction. Cela doit aussi vous échapper 😅 
Croyez moi, j’accepte les arguments, mais vous n’en avez aucun. Je vais vous dire la même chose qu’à l’autre. Je n’ai plus rien à vous dire et je vous souhaite une bonne soirée ( inutile de répondre, vous allez encore vous ridiculiser en cherchant des likes qui vous tiennent tant à cœur)",0
Rassemblement National,"Quand à votre argument sur le marketing d’influence, cela veut donc dire que celui qui a le plus de j’aime a raison ? Qu’il a des droits en plus ? Le marketing d’influence n’a absolument rien à voir avec cette situation. Quand on ne sait rien, il faut apprendre ou se taire",0
Rassemblement National,Quand on met les catholiques dans le même sac que les nazis on doit se retirer et se cacher. Pas 1 voix pour cette femme  qui mènerait  la France au désastre,0
Rassemblement National,"🤢🤢🤢🤢🤢🤮🤮🤮🤮🤮 merci de partir marine , puis bardella et les autres",0
Rassemblement National,Beaucoup critique marine mais ne l'a connaisse pas c'est comme celui qui n'aime pas un plat qui n'a jamais goûter vous dites aimez vos enfants et petits enfants c'est de la rigolade les aimez c'est essayer de les sauver de ces gouvernement de pacotille,0
Rassemblement National,"Et après le face à face avec Macron , elle n'a aucune chance . Elle ne maîtrise aucun dossier .",0
Rassemblement National,"C'est un nul, dégage.",0
Rassemblement National,C’est terrible cette histoire,0
Rassemblement National,"Un désastre
Tous des clowns. Les ministres et Macron .le fou on est .fichu",0
Rassemblement National,Il est dangereux,0
Rassemblement National,La honte de la France,0
Rassemblement National,Complètement cinglé,0
Rassemblement National,Ces ministres feraient mieux de se la fermer,0
Rassemblement National,J espère que sa carrière politique s arrêtera la,0
Rassemblement National,je ne pense pas qu il y ait plus idiot que celui là !!!!!!!,0
